Facility ID,Facility Name,Address,Website,Sports A-D,Sports E-P,Sports S-Z,All Sports
31.0,Amesbury Community Centre,1507 Lawrence Ave. W,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=472,"Badminton, Badminton with Family, Basketball with Family",Pickleball with Family,Volleyball,"Badminton, Badminton with Family, Basketball with Family, Pickleball with Family, Volleyball"
83.0,Ancaster Community Centre,41 Ancaster Rd,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=487,Basketball,"Multi-Sport, Open Gym with Caregiver, Pickleball","Soccer, Volleyball","Basketball, Multi-Sport, Open Gym with Caregiver, Pickleball, Soccer, Volleyball"
66.0,Annette Community Recreation Centre,333 Annette St,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=17,Basketball,Pickleball,,"Basketball, Pickleball"
124.0,Antibes Community Centre,140 Antibes Dr,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=42,"Badminton, Basketball",Pickleball,"Soccer, Table Tennis, Volleyball","Badminton, Basketball, Pickleball, Soccer, Table Tennis, Volleyball"
180.0,Barbara Frum Community Centre,20 Covington Rd.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1045,Basketball,,,Basketball
80.0,Beaches Recreation Centre,6 Williamson Rd,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=24,"Badminton, Badminton with Family, Ball Hockey, Basketball","Multi-Sport (Girls), Multi-Sport with Family, Pickleball",Soccer,"Badminton, Badminton with Family, Ball Hockey, Basketball, Multi-Sport (Girls), Multi-Sport with Family, Pickleball, Soccer"
165.0,Birchmount Community Centre,93 Birchmount Rd,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=507,"Badminton, Basketball, Ball Hockey",Pickleball,"Soccer, Table Tennis, Volleyball","Badminton, Basketball, Ball Hockey, Pickleball, Soccer, Table Tennis, Volleyball"
553.0,Birkdale Community Centre,1299 Ellesmere Rd,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=289,,,Table Tennis,Table Tennis
90.0,Bob Abate Community Recreation Centre,485 Montrose Ave,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=30,Basketball,"Multi-Sport, Multi-Sport with Family, Pickleball, Pickleball with Family",Soccer,"Basketball, Multi-Sport, Multi-Sport with Family, Pickleball, Pickleball with Family, Soccer"
23.0,Broadlands Community Centre,19 Castlegrove Blvd,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=7,,,Table Tennis,Table Tennis
97.0,Brown Community Centre,454 Avenue Rd,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=33,Badminton,Pickleball,,"Badminton, Pickleball"
21539.0,Canoe Landing Community Recreation Centre,45 Fort York Blvd  ,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3643,"Badminton, Badminton with Family, Ball Hockey, Basketball, Basketball (Women)","Multi-Sport, Open Gym, Open Gym with Family, Pickleball, Pickleball with Family","Soccer, Volleyball","Badminton, Badminton with Family, Ball Hockey, Basketball, Basketball (Women), Multi-Sport, Open Gym, Open Gym with Family, Pickleball, Pickleball with Family, Soccer, Volleyball"
